priority,rule_id,match_field,match_operator,match_pattern,amount_sign,category,subcategory,accounting_line,recurrence_treatment,confidence,rule_note,june_context
250,inventory_favor_heb,name,contains,Favor Heb Now,positive,Inventory / food / supplies,HEB / Favor grocery,Local grocery / ingredients,recurring,high,Classify as local grocery/ingredients unless receipt proves non-food.,June HEB/Favor included multiple local grocery runs.
260,inventory_heb,name,contains,H-e-b,positive,Inventory / food / supplies,HEB grocery,Local grocery / ingredients,recurring,high,Classify as local grocery/ingredients unless receipt proves non-food.,Use same bucket as Favor HEB Now.
270,inventory_amazon,name,contains,Amazon,positive,Inventory / food / supplies,Amazon purchases,Inventory/supplies by user preference; review-able,recurring / review,medium,User asked to club Amazon purchases into inventory. UI should allow override to equipment/supplies/one-off after receipt review.,June Amazon net was about $4.1K after refund.
300,logistics_frozen_food_express,name,contains,Frozen Food Express,positive,Logistics / facilities / store ops,Frozen freight,Freight / shipping logistics,recurring / shipment-based,high,Major freight charge; track freight-to-sales and freight-per-tub where possible.,"June FFE was $2,215.02."
310,logistics_echo,name,contains,Echo Global Logistics,positive,Logistics / facilities / store ops,Echo freight,Freight / shipping logistics,recurring / shipment-based,high,Classify as freight/logistics.,June Echo was $675.70.
320,store_ops_cintas,name,contains,Cintas,positive,Logistics / facilities / store ops,Cintas facility service,Facility service / mats / cleaning / uniforms,recurring,high,Review contract because June amount was material.,"June Cintas was $1,565.46."
330,store_supplies_webstaurant,name,contains_any,Thestaurant Store Inc|Restaurant Store|Webstaurant,positive,Logistics / facilities / store ops,Restaurant supplies,Store supplies / smallwares / packaging,recurring / review,high,Could be recurring supplies or one-time setup; review receipts if amount is large.,June Webstaurant/The Restaurant Store about $618.55.
340,store_supplies_uline,name,contains,Uline,positive,Logistics / facilities / store ops,Uline supplies,Packaging / shipping / store supplies,recurring / review,high,Could be packaging or setup supplies.,June Uline about $342.14.
350,vehicle_td_auto,name,contains,Td Auto Finance,positive,Logistics / facilities / store ops,Vehicle / auto finance,Vehicle allocation / transport,review,medium,Need user decision whether fully assigned to Austin shop P&L.,June TD Auto was $745.45.
360,vehicle_tesla,name,contains,Tesla,positive,Logistics / facilities / store ops,Tesla charging / vehicle,Vehicle / charging,review,medium,Likely vehicle/charging; decide whether business/store allocation applies.,June TeslaUS was $32.00.
370,vehicle_toll,name,contains,Hctra Ez Tag,positive,Logistics / facilities / store ops,Tolls,Transport / tolls,recurring / review,medium,Classify as vehicle/transport if business-related.,June HCTRA was $10.00.
380,repair_johnny_rooter,name,contains,Johnny Rooter,positive,Logistics / facilities / store ops,Plumbing repair,Repairs / maintenance,irregular,high,One-off/irregular repair unless recurring service.,June Johnny Rooter was $442.29.
390,cleanup_businesswebsocial,name,contains,Businesswebsocial,positive,Logistics / facilities / store ops,Junk removal,Cleanup / junk removal,irregular,high,"User clarified this was junk removal, not marketing.",June Businesswebsocial was $150.00.
400,utility_spectrum,name,contains,Spectrum,positive,Logistics / facilities / store ops,Internet / utility,Utilities / connectivity,recurring,high,Store internet/utility.,June Spectrum was $84.78.
410,store_ops_swc,name,equals_or_contains,Swc,positive,Logistics / facilities / store ops,SWC misc store ops,Admin / utilities / misc store ops,review,low,Unknown vendor; keep in store ops review until identified.,June SWC was $57.30.
420,bank_service_charge,name,contains,Service Charges For The Month,positive,Logistics / facilities / store ops,Bank service charge,Banking / admin fee,recurring / bank,high,Bank fee/admin expense.,June service charge was $7.50.
500,marketing_ads,name,equals_or_contains,Ads,positive,Marketing + software tools,Paid digital ads,Paid media / digital ads,recurring / campaign,high,Direct paid media. Track paid-media-to-sales ratio.,"June Ads was $1,379.29."
510,marketing_wainscot,name,contains,Wainscot Media,positive,Marketing + software tools,Wainscot local magazine,Paid media / local magazine,occasional campaign,high,"User clarified local neighborhood magazine ad; June and maybe August, not monthly by default.",June Wainscot was $695.25.
520,marketing_neon_signage,name,contains,Neon Digital Signage,positive,Marketing + software tools,Digital signage,Store marketing / signage,recurring / review,medium,Not paid media; signage/marketing ops.,June Neon Digital Signage was $75.00.
530,software_cursor,name,contains,Cursor Usage,positive,Marketing + software tools,Cursor,Software / AI tooling,recurring / usage,high,Largest software item; consider usage monitoring/seat allocation.,June Cursor was about $1.1K.
540,software_clickup,name,contains,Clickup,positive,Marketing + software tools,ClickUp,Productivity / project management,recurring,high,Classify as productivity/ops software.,June ClickUp was $344.40.
550,software_anthropic,name,contains,Anthropic,positive,Marketing + software tools,Anthropic,AI tooling,recurring / usage,high,Classify as AI tooling.,June Anthropic was $319.80.
560,software_marketman,name,contains,Marketman,positive,Marketing + software tools,MarketMan,Restaurant ops / inventory software,recurring,high,Restaurant ops/inventory platform.,June MarketMan was $99.00.
570,software_betterteam,name,contains,Betterteam,positive,Marketing + software tools,Betterteam,Hiring / recruiting software,recurring / hiring,high,Hiring/recruiting tool.,June Betterteam was $39.00.
580,software_lovable,name,contains,Lovable,positive,Marketing + software tools,Lovable,Software / AI app tool,recurring / usage,high,Classify as software/AI app tool.,June Lovable was $26.25.
590,software_adobe,name,contains,Adobe,positive,Marketing + software tools,Adobe,Creative software,recurring,high,Classify as creative/software tool.,June Adobe was $21.64.
700,equipment_apple_mac,name,contains_any,Apple.com|APPLE.COM,positive,One-off equipment / setup,Apple Mac / equipment,One-off setup/equipment,one-off,high,User confirmed Apple Mac purchase; exclude from monthly run-rate. Future Apple charges should be reviewed before auto-run-rate classification.,"June Apple was $4,771.66."
710,gift_card_vanilla,name,contains,Vanillagift.com,positive,One-off / review,Gift card / promo / misc,Review required,review,medium,"Could be promo, gift card, or misc. Review before P&L category.",June Vanillagift was $28.95.
720,personal_or_owner_palmetto_purchase,name,contains,Palmetto Superfoods D,positive,Review / possible owner purchase,Palmetto store purchase,Review required,review,low,"Large amount matched Palmetto Superfoods D; needs confirmation whether distributor, store purchase, or other. Current analysis treated Palmetto-related as inventory when appropriate.",Review manually if ambiguous.
